TITLE,
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,2023/08/03
TIME,14:41:49
SPECTROMETER/DATA SYSTEM,JASCO Corp., FP-8550, Rev. 1.00
DELTAX,0.5
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  500.0000
LASTX,  800.0000
NPOINTS,     601
FIRSTY,    29.42375
MAXY,   516.72137
MINY,    13.96378
XYDATA
,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,505,510,515,520,525,530,535,540,545,550,555,560,565,570,575,580,585,590,595,600,605,610,615,620,625,630,635,640,645,650
500,29.4237,29.7696,28.8915,27.2611,26.1401,23.6613,22.8573,21.9464,21.6963,22.2375,22.8968,22.5227,21.3011,20.2883,19.5167,19.4435,18.535,15.9393,14.7421,14.2854,15.5937,16.4144,16.4119,14.801,14.1442,15.5818,24.1537,102.012,435.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500.5,29.0453,29.5633,28.3689,27.3581,26.278,23.4496,22.6983,22.0305,21.6351,22.1697,23.1261,22.4259,21.2614,20.1756,19.5083,19.3972,18.6295,15.8772,14.7836,14.4651,15.6961,16.27,16.4611,14.6274,14.0295,15.5315,22.1336,87.6069,394.787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,29.1026,29.4855,28.3232,27.6914,26.2235,23.5172,22.6991,21.6909,21.2606,22.2784,23.1125,22.5753,21.0193,20.3267,19.3903,19.3353,18.7075,15.9763,14.7038,14.3894,15.743,16.3463,16.4484,14.7874,13.9154,15.3449,20.6999,75.1077,355.929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501.5,28.8531,29.6795,28.3385,27.6808,26.1823,23.7432,22.6875,21.4119,21.3652,22.2946,23.1731,22.6086,21.1183,20.5327,19.2264,19.3272,18.648,16.1328,14.5735,14.5038,15.7213,16.3412,16.4655,14.8849,13.8293,15.3636,19.4077,64.4107,316.981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502,28.6826,29.2872,28.4963,27.365,25.8085,23.8935,22.6617,21.2228,21.4819,22.1125,23.0469,22.6027,21.1861,20.4658,19.1311,19.2335,18.7068,16.1361,14.6626,14.6055,15.7765,16.3258,16.2426,14.9053,13.715,15.2164,18.5991,55.2676,283.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502.5,28.7111,29.0783,28.4679,27.3442,25.3408,23.91,22.3959,21.0814,21.8251,22.0273,22.8478,22.7591,21.3402,20.709,18.9887,19.2576,18.6439,16.1541,14.7751,14.4249,15.7961,16.3305,16.134,14.9099,13.6981,15.0362,17.9385,47.1743,247.748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503,28.5829,28.9429,28.3015,27.2836,25.0659,23.8188,21.9403,21.0881,21.8006,21.927,22.7773,22.6816,21.5226,20.4282,19.1209,19.1092,18.5193,16.0964,14.7443,14.419,15.8153,16.4459,15.9861,14.8155,13.6987,14.8412,17.3257,40.5999,214.978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503.5,28.5246,29.0243,28.0517,27.3013,24.5944,23.6753,21.6938,21.1584,21.9208,21.8098,22.5932,22.5018,21.5042,20.3896,19.328,19.081,18.5398,16.1742,14.6494,14.3261,15.8569,16.5292,15.8543,14.5548,13.7521,14.5784,16.8984,35.3242,185.626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504,28.1454,29.0587,27.7775,27.2074,24.5819,23.5629,21.7481,21.1978,21.9209,21.7208,22.6732,22.1072,21.4592,20.3589,19.4443,19.1036,18.3372,16.2663,14.7584,14.5466,15.7009,16.5318,15.8661,14.4326,13.781,14.2422,16.6803,31.2868,160.941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504.5,27.7472,29.1029,27.5624,26.8419,24.4115,23.3707,22.0829,21.0625,21.8251,21.6309,22.7517,21.9362,21.4285,20.3718,19.4832,19.2116,18.4439,16.1884,14.6485,14.4894,15.5999,16.4902,15.7493,14.3932,13.7159,14.0322,16.3414,27.6467,138.293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505,27.3265,29.0052,27.4239,26.6895,24.2098,23.2825,22.0957,20.9792,21.7443,21.6465,22.7511,21.7849,21.4378,20.1862,19.5738,19.2228,18.3233,16.3585,14.7977,14.4367,15.4748,16.4687,15.7469,14.5991,13.7151,13.8311,16.0799,24.865,119.254,429.462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505.5,27.3341,28.829,27.267,26.5812,24.1932,23.0702,22.0004,20.8829,21.757,21.3901,22.7199,21.6754,21.4415,20.1446,19.6259,19.3314,18.233,16.3684,14.9195,14.6212,15.338,16.5651,15.7694,14.6129,13.7436,13.6894,15.8602,22.5533,102.439,389.878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506,27.3505,28.6011,26.9615,26.5336,24.3085,22.83,21.6219,21.0368,21.8775,21.4048,22.4895,21.596,21.4524,19.9674,19.5352,19.351,18.2657,16.4734,14.9433,14.6635,15.2847,16.5875,15.8272,14.4373,13.6969,13.6432,15.5056,21.2908,87.5109,351.233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
