
"t";"Date";"Time";"No.";"ML";"Temp.";"PAR";"F";"Fm'";"Y(II)";"ETR";"";
;20.07.23;13:03:19;Type: ICM
;20.07.23;13:03:18;20230718.par*
      12;20.07.23;13:03:31;1;5; 0.0;0;0.713;1.676;0.575;  0.0;;
      27;20.07.23;13:03:46;2;5; 0.0;0;0.675;1.647;0.590;  0.0;;
      42;20.07.23;13:04:01;3;5; 0.0;0;0.658;1.632;0.597;  0.0;;
      57;20.07.23;13:04:16;4;5; 0.0;78;0.714;1.564;0.543; 17.8;;
      72;20.07.23;13:04:31;5;5; 0.0;78;0.719;1.662;0.567; 18.6;;
      87;20.07.23;13:04:46;6;5; 0.0;78;0.708;1.658;0.573; 18.8;;
     102;20.07.23;13:05:01;7;5; 0.0;78;0.693;1.637;0.577; 18.9;;
     117;20.07.23;13:05:16;8;5; 0.0;78;0.679;1.619;0.581; 19.0;;
     132;20.07.23;13:05:31;9;5; 0.0;78;0.668;1.605;0.584; 19.1;;
     147;20.07.23;13:05:46;10;5; 0.0;78;0.661;1.594;0.585; 19.2;;
     162;20.07.23;13:06:01;11;5; 0.0;78;0.656;1.584;0.586; 19.2;;
     177;20.07.23;13:06:16;12;5; 0.0;78;0.652;1.576;0.586; 19.2;;
     192;20.07.23;13:06:31;13;5; 0.0;78;0.649;1.571;0.587; 19.2;;
     207;20.07.23;13:06:46;14;5; 0.0;78;0.647;1.567;0.587; 19.2;;
     222;20.07.23;13:07:01;15;5; 0.0;78;0.645;1.563;0.587; 19.2;;
     237;20.07.23;13:07:16;16;5; 0.0;57;1.020;1.679;0.392;  9.4;;
     252;20.07.23;13:07:31;17;5; 0.0;57;1.033;1.670;0.381;  9.1;;
     267;20.07.23;13:07:46;18;5; 0.0;57;1.032;1.656;0.377;  9.0;;
     282;20.07.23;13:08:01;19;5; 0.0;57;1.031;1.648;0.374;  9.0;;
     297;20.07.23;13:08:16;20;5; 0.0;57;1.026;1.640;0.374;  9.0;;
     312;20.07.23;13:08:31;21;5; 0.0;57;1.019;1.631;0.375;  9.0;;
     327;20.07.23;13:08:46;22;5; 0.0;57;1.015;1.625;0.375;  9.0;;
     342;20.07.23;13:09:01;23;5; 0.0;57;1.009;1.619;0.377;  9.0;;
     357;20.07.23;13:09:16;24;5; 0.0;57;1.002;1.608;0.377;  9.0;;
     372;20.07.23;13:09:31;25;5; 0.0;57;0.994;1.601;0.379;  9.1;;
